time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-05-12,2180.84,1713.99,2077.83,1433452.88,2753038207.64,1952.81,direct,
2022-05-13,2143.61,1936.1,1952.81,601021.71,1245554884.57,2006.51,direct,
2022-05-14,2066.02,1947.83,2006.51,210414.85,423017629.17,2054.03,direct,
2022-05-15,2160.61,1998.56,2054.03,180949.41,376701151.43,2143.12,direct,
2022-05-16,2143.2,1977.84,2143.12,339798.7,690038743.39,2020.12,direct,
2022-05-17,2119.84,2006.05,2020.12,289699.47,598230196.42,2089.29,direct,
2022-05-18,2108.35,1906.04,2089.29,323098.77,643148242.33,1911.68,direct,
2022-05-19,2038.92,1900.91,1911.68,365441.42,721565109.35,2017.78,direct,
2022-05-20,2061.81,1920.61,2017.78,340775.86,676297509.57,1956.88,direct,
2022-05-21,1987.79,1935.87,1956.88,102551.58,201843693.55,1972.87,direct,
2022-05-22,2053.49,1963.85,1972.87,143473.07,288595387.01,2041.08,direct,
2022-05-23,2086.6,1955.11,2041.08,307951.66,626635609.39,1970.7,direct,
2022-05-24,1991.09,1910.52,1970.7,260037.59,509629757.6,1977.85,direct,
2022-05-25,2019.8,1933.25,1977.85,257776.28,507595031.4,1941.04,direct,
2022-05-26,1963.52,1741.21,1941.04,559135.38,1030348371.06,1791.0,direct,
2022-05-27,1820.36,1706.95,1791.0,620989.67,1091437639.61,1724.73,direct,
2022-05-28,1807.77,1720.57,1724.73,226406.61,400672092.43,1790.79,direct,
2022-05-29,1824.64,1763.04,1790.79,202099.73,362774322.58,1811.69,direct,
2022-05-30,2011.23,1802.61,1811.69,432299.24,828850274.82,1997.64,direct,
2022-05-31,2015.05,1925.15,1997.64,407934.29,802528394.95,1940.59,direct,
2022-06-01,1971.79,1764.1,1940.59,542015.89,1020482594.24,1817.42,direct,
2022-06-02,1851.73,1782.17,1817.42,342166.6,622173440.24,1833.26,direct,
2022-06-03,1842.2,1737.3,1833.26,321034.9,569666491.39,1773.59,direct,
2022-06-04,1814.31,1747.45,1773.59,127178.95,225646408.54,1803.65,direct,
2022-06-05,1828.49,1771.7,1803.65,115340.19,208010346.16,1804.7,direct,
2022-06-06,1918.1,1803.59,1804.7,320038.54,600246125.39,1858.56,direct,
2022-06-07,1872.07,1725.54,1858.56,395559.39,705364504.92,1812.7,direct,
2022-06-08,1836.67,1765.24,1812.7,282107.16,508526918.8,1791.03,direct,
2022-06-09,1831.74,1776.37,1791.03,198843.86,357443811.84,1787.71,direct,
2022-06-10,1802.8,1654.64,1787.71,400457.64,687937104.94,1661.1,direct,
2022-06-11,1680.39,1500.36,1661.1,543851.96,854773704.94,1530.28,direct,
2022-06-12,1544.55,1426.49,1530.28,559551.89,825779676.24,1434.02,direct,
2022-06-13,1452.8,1165.61,1434.02,1803174.44,2275582645.63,1209.12,direct,
2022-06-14,1264.08,1075.44,1209.12,1280076.52,1519007309.93,1206.94,direct,
2022-06-15,1244.06,1014.07,1206.94,1512263.27,1698606699.32,1236.89,direct,
2022-06-16,1255.9,1050.94,1236.89,713850.77,807377734.26,1067.1,direct,
2022-06-17,1116.32,1050.3,1067.1,538871.48,585011689.72,1085.21,direct,
2022-06-18,1096.22,883.48,1085.21,1111012.52,1080808875.04,994.41,direct,
2022-06-19,1155.62,934.96,994.41,746709.49,776365310.03,1127.03,direct,
2022-06-20,1166.85,1051.76,1127.03,556967.99,617555699.32,1126.99,direct,
2022-06-21,1191.51,1108.44,1126.99,539382.54,619164299.73,1124.71,direct,
2022-06-22,1125.84,1043.02,1124.71,477305.52,517637610.39,1048.3,direct,
2022-06-23,1152.53,1044.07,1048.3,451739.61,500226767.62,1143.46,direct,
2022-06-24,1244.33,1131.25,1143.46,522965.49,622847139.93,1224.12,direct,
2022-06-25,1254.84,1179.17,1224.12,286628.31,348238056.74,1241.0,direct,
2022-06-26,1279.04,1194.9,1241.0,373624.98,459617043.48,1198.25,direct,
2022-06-27,1237.14,1174.01,1198.25,340090.32,409609422.41,1190.73,direct,
2022-06-28,1235.14,1135.32,1190.73,434590.25,516154549.5,1142.41,direct,
2022-06-29,1154.69,1086.31,1142.41,490935.48,547508525.24,1098.71,direct,
2022-06-30,1105.36,999.01,1098.71,635674.34,661034598.9,1069.53,direct,
2022-07-01,1108.86,1032.22,1069.53,577588.04,616888042.78,1058.01,direct,
2022-07-02,1077.18,1027.1,1058.01,233775.72,246197859.38,1065.69,direct,
2022-07-03,1085.63,1040.16,1065.69,206730.11,219767134.55,1072.95,direct,
2022-07-04,1159.39,1043.99,1072.95,373498.06,411008690.04,1149.81,direct,
2022-07-05,1170.54,1076.57,1149.81,487060.5,550223702.36,1131.96,direct,
2022-07-06,1202.1,1110.65,1131.96,472536.52,541697031.18,1185.41,direct,
2022-07-07,1253.43,1162.49,1185.41,522268.59,632226158.71,1236.64,direct,
2022-07-08,1274.65,1192.55,1236.64,556563.92,685525454.8,1214.0,direct,
2022-07-09,1232.47,1204.27,1214.0,147772.74,179916720.56,1216.53,direct,
2022-07-10,1219.06,1153.51,1216.53,193505.18,228056926.22,1167.31,direct,
2022-07-11,1170.23,1085.3,1167.31,373157.79,422804562.19,1095.67,direct,
2022-07-12,1097.18,1032.47,1095.67,514019.84,548112670.68,1037.37,direct,
2022-07-13,1117.22,1009.82,1037.37,769754.95,813163899.62,1114.57,direct,
2022-07-14,1211.87,1072.08,1114.57,559535.57,635957495.14,1192.56,direct,
2022-07-15,1286.06,1180.38,1192.56,704281.05,864043258.51,1231.23,direct,
2022-07-16,1400.05,1191.62,1231.23,518063.79,673738020.94,1356.31,direct,
2022-07-17,1385.31,1320.65,1356.31,453213.77,613273362.46,1337.97,direct,
2022-07-18,1593.79,1335.77,1337.97,1027888.25,1515087201.75,1583.55,direct,
2022-07-19,1625.03,1493.29,1583.55,875023.54,1354213074.71,1543.12,direct,
2022-07-20,1620.73,1487.09,1543.12,655879.23,1024542971.16,1521.72,direct,
2022-07-21,1605.45,1465.28,1521.72,556587.83,847550503.86,1575.68,direct,
